DNAJC30 BUD23
BUD23 CLIP2
BUD23 FKBP6
BUD23 EIF4H
BUD23 METTL27
BUD23 TBL2
BUD23 TMEM270
BUD23 MLXIPL
BUD23 LIMK1
BUD23 BAZ1B
BUD23 GTF2IRD1
BUD23 GTF2I
BUD23 BCL7B
TMEM270 CLIP2
TMEM270 FKBP6
TMEM270 EIF4H
TMEM270 METTL27
TMEM270 TBL2
TMEM270 MLXIPL
TMEM270 LIMK1
TMEM270 BCL7B
TMEM270 BAZ1B
TMEM270 GTF2I
TMEM270 GTF2IRD1
METTL27 FKBP6
METTL27 EIF4H
METTL27 BMPR1A
METTL27 MLXIPL
METTL27 LIMK1
METTL27 GTF2I
METTL27 GTF2IRD1
METTL27 BAZ1B
METTL27 TBL2
METTL27 BCL7B
MLXIPL CLIP2
MLXIPL FKBP6
MLXIPL EIF4H
MLXIPL TBL2
MLXIPL TOMM40
MLXIPL LIMK1
MLXIPL GTF2I
MLXIPL GTF2IRD1
MLXIPL BAZ1B
MLXIPL BCL7B
BCL7B CLIP2
BCL7B FKBP6
BCL7B EIF4H
BCL7B TBL2
BCL7B LIMK1
BCL7B BAZ1B
BCL7B GTF2IRD1
BCL7B TOMM40
BCL7B GTF2I
MLH3 MLH1
MLH3 MSH2
MLH3 MSH6
MLH3 KRAS
MLH3 EPCAM
MLH3 PIK3CA
MLH3 PMS2
MLH3 TGFBR2
MLH3 BMPR1A
MLH3 FAN1
MLH3 PMS1
PMS2 MLH1
PMS2 MSH2
PMS2 MSH6
PMS2 KRAS
PMS2 EPCAM
PMS2 PIK3CA
PMS2 SEMA4A
PMS2 BMPR1A
PMS2 TGFBR2
PMS2 PMS1
PMS2 FAN1
PMS1 MLH1
PMS1 MSH2
PMS1 MSH6
PMS1 KRAS
PMS1 EPCAM
PMS1 PIK3CA
PMS1 TGFBR2
PMS1 FAN1
PMS1 BMPR1A
BAZ1B CLIP2
BAZ1B MSH6
BAZ1B FKBP6
BAZ1B EIF4H
BAZ1B TBL2
BAZ1B LIMK1
BAZ1B TOMM40
BAZ1B GTF2I
BAZ1B GTF2IRD1
GTF2I CLIP2
GTF2I FKBP6
GTF2I PIK3CA
GTF2I EIF4H
GTF2I TBL2
GTF2I LIMK1
GTF2I GTF2IRD1
FKBP6 CLIP2
FKBP6 LIMK1
FKBP6 EIF4H
FKBP6 TBL2
FKBP6 GTF2IRD1
LIMK1 CLIP2
LIMK1 KRAS
LIMK1 PIK3CA
LIMK1 EIF4H
LIMK1 TBL2
LIMK1 GTF2IRD1
TBL2 CLIP2
TBL2 MSH2
TBL2 KRAS
TBL2 EIF4H
TBL2 TOMM40
TBL2 GTF2IRD1
EIF4H CLIP2
EIF4H KRAS
EIF4H GTF2IRD1
GTF2IRD1 CLIP2
MLH1 SEMA4A
MLH1 TGFBR2
MLH1 BMPR1A
MLH1 PIK3CA
MLH1 EPCAM
MLH1 KRAS
MLH1 FAN1
MLH1 MSH2
MLH1 MSH6
MSH2 FAN1
MSH2 TGFBR2
MSH2 PIK3CA
MSH2 BMPR1A
MSH2 KRAS
MSH2 EPCAM
MSH2 MSH6
MSH6 FAN1
MSH6 PIK3CA
MSH6 BMPR1A
MSH6 TGFBR2
MSH6 KRAS
MSH6 EPCAM
KRAS BMPR1A
KRAS EPCAM
KRAS TGFBR2
KRAS PIK3CA
SEMA4A EPCAM
SEMA4A TGFBR2
SEMA4A BMPR1A
TGFBR2 EPCAM
TGFBR2 PIK3CA
TGFBR2 SOX6
TGFBR2 BMPR1A
BMPR1A EPCAM
BMPR1A PIK3CA
BMPR1A SOX6
PIK3CA EPCAM
FGF14 TMEM240
